id,text,author_id,created_at,lang,retweet_count,reply_count,like_count,quote_count
1972633283793199571,@WolfMalca Dem nutzlosen Haufen  in Berlin und seiner Bagage die Diäten streichen. Da kommt sicher mehr zusammen als beim Pflegegrad 1.,1870801951648088064,2025-09-29 12:03:19+00:00,de,0,0,0,0
1972633280420974693,GEZ-TV mit neuer Kampagne gegen AfD💥DIESE ZAHLEN lösen Panik in Berlin a... https://t.co/cYbpnav4Nf via @YouTube,3503412975,2025-09-29 12:03:18+00:00,de,0,0,0,0
1972633159792824334,"@JrgenSchumach17 @DerGanesha ..Dann musst Du aber 3 Gummis ueberziehen, sonst holst Du Dir die, in Berlin grassierende, Syphillis von dem Migranten-Groupie..",1742150504585596928,2025-09-29 12:02:49+00:00,de,0,0,0,0
1972633085993959854,@valaki_berlin @AlexSchaumburg @jk_rowling Den habe ich ja schon lange nicht mehr gelesen! 👍😂,252626301,2025-09-29 12:02:32+00:00,de,0,0,0,0
1972633075851956553,"Sparzwang der französischen Regierung: Nachtzug zwischen Paris und Berlin wird gestoppt 

https://t.co/sBUZoJxJqJ

#Taz #GRBsB 

Die Nachtzugstrecke lohnt sich nicht, sagt Frankreichs Bahn SNCF. Es regte sich Protest. Doch jetzt hat der Zugbetreiber das Ende der Verbindung best… https://t.co/UVUqoOd1gM",1865891712637218816,2025-09-29 12:02:29+00:00,de,0,0,0,0
1972632982201765984,@kripp_m Dem nutzlosen Haufen  in Berlin und seiner Bagage die Diäten streichen. Da kommt sicher mehr zusammen als beim Pflegegrad 1.,1870801951648088064,2025-09-29 12:02:07+00:00,de,0,0,0,0
1972632979550908886,"@ainyrockstar Berlin ist ein Drecksloch geworden und die ganzen linken Dullis spornen sich mit ihrem selbstzerstörerischen "" Gedankengut"" an. Von mir aus können die alle auswandern!",1736749243140882432,2025-09-29 12:02:06+00:00,de,0,0,0,0
1972632845983023452,"Unsere Checklist für Ihren Besuch! ✅ In wenigen Stunden öffnet die #SCCON25 ihre Tore. Bereiten Sie sich optimal auf Ihren Aufenthalt vor und werfen Sie einen Blick auf unsere Tipps und Hinweise zum Veranstaltungsbesuch.

Tipps von A bis Z ➡️
https://t.co/gyroULLcXu https://t.co/IMc0Lw3paF",953611670424817666,2025-09-29 12:01:34+00:00,de,0,0,0,0
1972632839725436934,"@AFDNRWFRATION 
Wussten Sue das Deutschland einen neuen Marionette Verein, zur Huldigung von Kaidlser Wilhelm II
 hat?
""OV deutsches Schwulen Corps 1966 e. V.?""
Vorsitzender Schwul,  Berlin des Inneren, Nasenbär (5x hier), Sexlein!
Der Verein nimmt noch Schwuchteln, Tucken auf!",1592761103712485376,2025-09-29 12:01:33+00:00,de,0,0,0,0
1972632782624141725,"„Die Bürger haben der Polizei das Gewaltmonopol übertragen und zurecht den Anspruch, dass diese dem demokratischen Auftrag bestmöglich nachkommt und nicht durch übertriebenen Datenschutz blockiert wird.“ #GdP-Landeschef Stephan Weh zur Debatte um das ASOG Berlin ⤵️ https://t.co/MKRkbs1gHR",1011162037374812161,2025-09-29 12:01:19+00:00,de,1,0,1,0
1972632666953699685,"@wxvsung ateez war dieses jahr ja einmal in köln und zwei tage in berlin digga statt 3 konzerte in kleinen venues zu machen, mach eins in einer großen venue pls ateez im deutsche bank park für 2026 🙏🙏🙏🙏🙏",1325375960145944576,2025-09-29 12:00:52+00:00,de,0,2,1,0
1972632657013121095,"@TanteAnni3 Ja, Oranienburg, Kleinstadt im Norden von Berlin. Die AFD Kandidatin hat mit unglaublichen 27% bei 57% Wahlbeteiligung gewonnen.

Gedenkstätte KZ Sachsenhausen in Oranienburg ist für einen Besuch sehr zu empfehlen.",1497391119763746818,2025-09-29 12:00:49+00:00,de,0,0,0,0
1972632650910409021,"Veranstaltungstipp für Mittwoch in Berlin. Habe das Buch gelesen und die Autorin interviewt. Beides ein Erlebnis. 

https://t.co/TTwhHVepIz",2837111446,2025-09-29 12:00:48+00:00,de,0,0,0,0
1972632603380580662,"@chawichawi Siend diese Umfragen vielleicht gefälscht? Hier auf X sehe ich z.B. unter einzelnen ""Lobeshymnen"" auf die Pali-Demo in Berlin vom letzten WoE weniger als 1% zustimmende Kommentare, mehr als 99% Solidarität mit Israel und Abscheu für die demonstrierte Hamas Propaganda.",853901765342887936,2025-09-29 12:00:37+00:00,de,0,0,0,0
1972632444672303578,"@Hermann130164 Also wer in Berlin lebt, kann auch erleben, was eine lahm gelegte U-Bahn ist.
Scheint eine Spezialität einiger Politiker zu sein.",1711498692350386176,2025-09-29 11:59:59+00:00,de,0,0,0,0
1972632421293326488,@BastiGassl Das ist das Berlin von @kaiwegner und der @CDUBerlin_AGH @cduberlin . Berlin ist eine Schande für das ganze Land,98468608,2025-09-29 11:59:53+00:00,de,0,0,0,0
1972632291836088470,Das alte Berlin - Wie es einmal war https://t.co/4Ez38HGMIA via @YouTube,1844829836390576128,2025-09-29 11:59:22+00:00,de,0,0,0,0
1972632290573549748,@UlrichSchneider Ihr kapiert es einfach nicht. Ergebnis kann man in Berlin bestaunen.,1546719716638695424,2025-09-29 11:59:22+00:00,de,0,0,0,0
1972632203227169060,@PhilippPeyman In Berlin sogar unter massivem Polizeischutz!,1435528019322490881,2025-09-29 11:59:01+00:00,de,1,0,1,0
1972632042203684970,"@sadoladies Lady Pascal @LadyPascal1 eine Legende in Leder❤️

In Berlin ganz oben 🪩👠",1159145278852784128,2025-09-29 11:58:23+00:00,de,0,0,0,0
1972632000520716347,"Lady Pascal @LadyPascal1 eine Legende in Leder❤️

In Berlin ganz oben 🪩👠 https://t.co/lmvxhJDheE",1159145278852784128,2025-09-29 11:58:13+00:00,de,0,0,0,0
1972631997785788446,"🎭✨ „Krug in the Box“ – Kleists Klassiker neu erzählt!
Mit Popmusik, Puppenspiel &amp; Humor wird das Lustspiel zur rasanten Show 🎶🎤🪄
📅 10.10.25, 19:30 Uhr
📍 Plievierstraße 3, Berlin
💶 5 € | ab 12 J.
👉 Anmeldung: 
 Alexandra Kleinfeldt: +49 162 7918987 
#theater #berlin https://t.co/eehXIJIEX1",1510930032448970758,2025-09-29 11:58:12+00:00,de,0,0,0,0
1972631904026607701,pentadecadegramPentedekadegramm fifeteenFuenfzehn O O weWir allAlle areSind insideInnerhalb dangerGefahr threatBedrohung extraterristrialsAusserirdische thausandsTausende yearsJahre millieniasJahrtausende alreadyBereits mentalGeistiger brainGehirn cosmosKosmos. (exEhemals berlin,880508033238958080,2025-09-29 11:57:50+00:00,de,0,1,0,0
